customer_comments,churned
"The service has been great and customer support is excellent. Very happy with my subscription!",0
"I want to cancel my subscription because it's too expensive for what I get",1
"Love using this product every day. It makes my work so much easier.",0
"Your customer service is terrible. I've been trying to resolve an issue for weeks. Cancelling.",1
"Outstanding quality and value. Will recommend to all my colleagues.",0
"I'm switching to a competitor that offers better features at a lower price",1
"This is exactly what I needed. Thank you for such a great service!",0
"Too many bugs and the app crashes frequently. Not worth the money.",1
"Been a loyal customer for 3 years and plan to stay for many more!",0
"The recent price increase is unacceptable. I'm looking for alternatives.",1
"Excellent product with regular updates and improvements. Very satisfied.",0
"I'm disappointed with the lack of features compared to what was promised",1
"Great experience overall. The platform is intuitive and reliable.",0
"Support tickets take forever to resolve. This is frustrating. I'm leaving.",1
"Best decision I made for my business. ROI has been fantastic.",0
"The interface is confusing and difficult to use. Not user-friendly at all.",1
"Amazing features and the team is always helpful. Highly recommend!",0
"Service has gotten worse over time. Quality is declining. Time to move on.",1
"This tool has transformed how our team works. Worth every penny.",0
"I've had nothing but problems since I signed up. Requesting a refund.",1
